Synergy!ID,HistoryID,性別,年代,居住市町村,業種,その他業種,観光は悪い影響を上回る良い影響があると思う,やんばるエリアは観光地であるべき（積極的に観光客を受け入れるべき）だと思う,やんばるエリアは今後も更なる観光振興を進めるべきと思う,やんばるエリアの観光振興を支援していきたいと思う,企業・事業者数等の増加により地域経済が活性化している,地域の景観が良くなっている,地域の文化の保全・継承につながっている,地域の生活環境の改善・向上につながっている,地域に活気が生まれ転出者が減っている（転入者が増えている）,地域の買い物環境やレクリエーション環境が改善している,地域の交通環境（道路・駐車場整備等）が改善している,地域の商店街が活性化している,地域に訪れる観光客を歓迎している,地域住民と観光客の間で交流が生まれている,観光・観光客のおかげで、企業等への就業機会の向上につながっていると感じる,観光振興により自然・景観環境を守っていきたいと思う,観光・観光客のおかげで自分たちは独特の文化をもっていると感じる,観光・観光客のおかげであなたの住む地域の特徴を継承していきたいと思う,観光・観光客のおかげであなたの住む地域に誇りを持てる,観光・観光客のおかげであなたの住む地域のおすすめの場所をほかの人に教えたいと思う,観光振興により同じ地域に住む住民同士の関係性が強化されると思う,観光・観光客のおかげで買い物する場やレジャー環境が充実していると思う,あなたの日常生活での移動（通勤・通学）環境が改善したと思う,観光振興により旅行者との良い出会いが生まれると思う,観光客のおかげで他者への偏見が減り、他者への理解が深まると思う,定期的に知りたい情報_ALL,定期的に知りたい情報_来訪者の消費額,定期的に知りたい情報_来訪者の消費単価,定期的に知りたい情報_延べ宿泊者数,定期的に知りたい情報_来訪者満足度,定期的に知りたい情報_リピーター率,定期的に知りたい情報_住民満足度,定期的に知りたい情報_地域への経済波及効果,定期的に知りたい情報_活動実績,定期的に知りたい情報_その他,定期的に知りたい情報_その他_text,定期的に知りたい情報_特になし,やんばるエリアが持つ魅力_ALL,やんばるエリアが持つ魅力_豊かな自然景観,やんばるエリアが持つ魅力_地元の食文化,やんばるエリアが持つ魅力_琉球の歴史・文化,やんばるエリアが持つ魅力_のんびりとした時間の流れ,やんばるエリアが持つ魅力_地域住民の人柄,やんばるエリアが持つ魅力_その他,やんばるエリアが持つ魅力_その他_text,やんばるエリアにおいておすすめしたい体験等_ALL,やんばるエリアにおいておすすめしたい体験等_自然の景観・体験,やんばるエリアにおいておすすめしたい体験等_地元の料理,やんばるエリアにおいておすすめしたい体験等_地域産品・お土産,やんばるエリアにおいておすすめしたい体験等_伝統・文化,やんばるエリアにおいておすすめしたい体験等_お祭り・イベント,やんばるエリアにおいておすすめしたい体験等_地域住民との交流,やんばるエリアにおいておすすめしたい体験等_その他,やんばるエリアにおいておすすめしたい体験等_その他_text,やんばるエリアでの暮らしの幸福度,5年後のやんばるエリアでの暮らしの幸福度,やんばるエリアの「持続可能な観光地」としての満足度,居住地域の誇りにしていること,観光客に伝えたい魅力,やんばるの観光について、ご意見,回答日時
2659,57,女性,40代,本部町,その他,観光業,やや思う,どちらでもない,どちらでもない,どちらでもない,やや思う,やや思う,あまり思わない,どちらでもない,やや思う,やや思う,やや思う,あまり思わない,やや思う,あまり思わない,どちらでもない,とても思う,どちらでもない,どちらでもない,どちらでもない,やや思う,やや思う,あまり思わない,あまり思わない,あまり思わない,あまり思わない,住民満足度,0,0,0,0,0,1,0,0,0,,0,"豊かな自然景観,のんびりとした時間の流れ,地域住民の人柄",1,0,0,1,1,0,,"地元の料理,地域産品・お土産,お祭り・イベント",0,1,1,0,1,0,0,,7,8,どちらでもない,,,"観光客が増えるのは良いことだと思いますが、自然環境への影響が心配です。
山原の自然を守りながら、観光客の誘致にもつながればと思います。
観光客が増えると、特に、外国からの観光客によって外来種が持ち込まれ、生態系が変わる可能性がある。いなくなる恐れがある。それだけはどうしても避けたいと強く思います。",2025-12-12 10:01:33
2666,58,女性,40代,名護市,学術研究、専門、技術サービス業,,あまり思わない,あまり思わない,あまり思わない,やや思う,あまり思わない,まったく思わない,あまり思わない,どちらでもない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,やや思う,あまり思わない,あまり思わない,やや思う,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,やや思う,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,リピーター率,地域への経済波及効果",1,1,1,0,1,0,1,0,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化",1,1,1,0,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化,お祭り・イベント",1,1,1,1,1,0,0,,8,6,大変不満,公立学校に通う小中学校生が地域の方たちと連携した授業プログラムを受講できること。,安っぽい観光PRではなく、世界自然遺産に登録されたやんばる地域の生態系、環境、文化的景観についての説明、保全のためにどのように取り組んでいるのか具体的に伝えてほしい。,"沿岸域の環境を汚染しないために、下水道を早急に整えること。また、海岸を占有するホテル・リゾートの建設、私有地化は反対する。
辺野古の米軍基地の建設が今後も続き、現在のように台湾有事の危険性が高まると、観光振興は難しいと思う。基地建設に伴い、景観はとても悪くなっている。大型工事車両が地域を走行するのが常態となっており、道路・環境状態、景観に関してかなりマイナス印象を与える。",2025-12-12 11:31:12
2668,59,男性,50代,名護市,生活関連サービス業,,とても思う,やや思う,やや思う,やや思う,やや思う,どちらでもない,やや思う,やや思う,やや思う,あまり思わない,あまり思わない,どちらでもない,やや思う,あまり思わない,やや思う,とても思う,どちらでもない,やや思う,とても思う,とても思う,どちらでもない,あまり思わない,どちらでもない,やや思う,やや思う,"来訪者の消費額,来訪者の消費単価,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果",1,1,0,1,1,1,1,0,0,,0,"豊かな自然景観,のんびりとした時間の流れ",1,0,0,1,0,0,,自然の景観・体験,1,0,0,0,0,0,0,,5,4,どちらでもない,,,,2025-12-12 12:16:25
2672,60,男性,40代,大宜味村,お仕事をされていない,,あまり思わない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,まったく思わない,まったく思わない,あまり思わない,やや思う,あまり思わない,まったく思わない,やや思う,あまり思わない,まったく思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,まったく思わない,特になし,0,0,0,0,0,0,0,0,0,,1,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,"自然の景観・体験,地域住民との交流",1,0,0,0,0,1,0,,9,9,どちらでもない,,,,2025-12-12 13:38:11
2688,61,女性,60代,名護市,学術研究、専門、技術サービス業,,とても思う,やや思う,やや思う,とても思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,あまり思わない,やや思う,あまり思わない,どちらでもない,とても思う,とても思う,とても思う,やや思う,とても思う,あまり思わない,あまり思わない,あまり思わない,どちらでもない,やや思う,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果",1,1,1,1,1,1,1,0,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,"自然の景観・体験,地元の料理,伝統・文化,お祭り・イベント,地域住民との交流",1,1,0,1,1,1,0,,8,8,満足,移住者の為、まだ居住している期間は短いが、美ら海水族館をはじめ自然の美しさは誇りに思っている。やんばるの国頭村などはまだ行ったことが無いので行ってみたい。名護市は家賃が高い割には都会とも言い切れず、中途半端な印象。,亜熱帯地方独自の植物の面白さ。海だけではなくマングローブ林のカヌー体験や果物が豊富なので、バナナやパパイヤ、マンゴーなど味わってほしい。,"バナナやパパイヤ、マンゴーなどフルーツ狩りを体験したい。
名護市にカルディ、ニトリ、映画館には参入してほしい。
新幹線をなら那覇→名護間１５分から２０分で行けるのでは？",2025-12-12 17:27:42
2689,62,女性,60代,今帰仁村,医療、福祉,,どちらでもない,どちらでもない,どちらでもない,やや思う,どちらでもない,あまり思わない,やや思う,あまり思わない,やや思う,まったく思わない,あまり思わない,まったく思わない,やや思う,やや思う,どちらでもない,とても思う,どちらでもない,とても思う,あまり思わない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,やや思う,やや思う,"延べ宿泊者数,来訪者満足度,リピーター率,住民満足度",0,0,1,1,1,1,0,0,0,,0,"豊かな自然景観,琉球の歴史・文化,のんびりとした時間の流れ",1,0,1,1,0,0,,自然の景観・体験,1,0,0,0,0,0,0,,8,9,どちらでもない,"・今帰仁城
・海洋博公園・沖縄美ら海水族館
・緋寒桜
・古宇利島・伊是名・伊平屋島の伝説
・伊江島タッチュウ（沖縄戦歴史）
・辺戸岬までの村民が大切にしている文化
・今帰仁野菜",上記同様,"海洋博公園前または水族館前にバスターミナル
名護市内⇄本部町モノレール
北部に飛行場",2025-12-12 17:41:01
2770,63,女性,50代,今帰仁村,娯楽業,,やや思う,とても思う,とても思う,とても思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,とても思う,やや思う,やや思う,とても思う,どちらでもない,やや思う,とても思う,とても思う,やや思う,やや思う,どちらでもない,とても思う,やや思う,地域への経済波及効果,0,0,0,0,0,0,1,0,0,,0,"豊かな自然景観,地元の食文化,地域住民の人柄",1,1,0,0,1,0,,"自然の景観・体験,地元の料理,伝統・文化,お祭り・イベント,地域住民との交流",1,1,0,1,1,1,0,,8,8,満足,北山城　海　食文化,ルールやマナーを遵守してほしいです。,,2025-12-14 14:28:35
2772,64,男性,40代,名護市,その他,観光業,どちらでもない,やや思う,どちらでもない,どちらでもない,とても思う,あまり思わない,どちらでもない,まったく思わない,やや思う,やや思う,あまり思わない,どちらでもない,とても思う,あまり思わない,やや思う,とても思う,やや思う,あまり思わない,あまり思わない,やや思う,どちらでもない,やや思う,あまり思わない,どちらでもない,あまり思わない,"来訪者満足度,リピーター率,住民満足度,地域への経済波及効果",0,0,0,1,1,1,1,0,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化,お祭り・イベント,地域住民との交流",1,1,1,1,1,1,0,,5,4,不満,,,,2025-12-14 15:09:18
2783,65,女性,30代,名護市,学術研究、専門、技術サービス業,,やや思う,やや思う,やや思う,やや思う,あまり思わない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,やや思う,あまり思わない,あまり思わない,やや思う,あまり思わない,あまり思わない,やや思う,あまり思わない,どちらでもない,あまり思わない,どちらでもない,あまり思わない,やや思う,あまり思わない,あまり思わない,あまり思わない,"来訪者の消費単価,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果,活動実績",0,1,0,1,1,1,1,1,0,,0,"豊かな自然景観,のんびりとした時間の流れ",1,0,0,1,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産",1,1,1,0,0,0,0,,5,5,不満,,,北部の空港跡地を再利用し、内地からの飛行機を発着させてほしい。主要道路の混雑緩和ややんばる地域への滞在が増えることに繋がり、移動時間の短縮によって消費金額も増えて、地元への還元も大きくなるのではないかと思う。,2025-12-14 17:05:20
2827,66,男性,40代,名護市,建設業,,やや思う,やや思う,やや思う,やや思う,あまり思わない,どちらでもない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,やや思う,どちらでもない,やや思う,どちらでもない,どちらでもない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,住民満足度,0,0,0,0,0,1,0,0,0,,0,豊かな自然景観,1,0,0,0,0,0,,"自然の景観・体験,地域産品・お土産,お祭り・イベント",1,0,1,0,1,0,0,,5,5,どちらでもない,,,,2025-12-15 17:05:39
2832,67,男性,50代,名護市,宿泊業,,まったく思わない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,あまり思わない,やや思う,やや思う,どちらでもない,どちらでもない,どちらでもない,とても思う,どちらでもない,とても思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,とても思う,どちらでもない,どちらでもない,どちらでもない,"来訪者満足度,リピーター率,活動実績,特になし",0,0,0,1,1,0,0,1,0,,1,その他,0,0,0,0,0,1,現状の自然を認識できている住民はいますか？,その他,0,0,0,0,0,0,1,無し,3,2,どちらでもない,,,観光産業とは、産業そのもので、外貨収入という側面も持っているものだと思います。山を観光産業の中心とするのであれば、その専門性や過去の歴史・文化について、教えていただけますか。,2025-12-15 20:49:01
2833,68,男性,40代,名護市,情報通信業,,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,まったく思わない,まったく思わない,まったく思わない,やや思う,やや思う,まったく思わない,まったく思わない,まったく思わない,まったく思わない,どちらでもない,まったく思わない,まったく思わない,まったく思わない,どちらでもない,どちらでもない,どちらでもない,まったく思わない,まったく思わない,まったく思わない,まったく思わない,その他,0,0,0,0,0,0,0,0,1,環境へのダメージ,0,"豊かな自然景観,のんびりとした時間の流れ,地域住民の人柄",1,0,0,1,1,0,,自然の景観・体験,1,0,0,0,0,0,0,,10,9,大変不満,,,環境へのダメージがあり持続可能ではない。やんばる観光税の導入により、自然環境の保全に努め、持続可能なものにすべき,2025-12-16 0:43:42
2836,69,男性,50代,名護市,建設業,,あまり思わない,あまり思わない,あまり思わない,どちらでもない,どちらでもない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,やや思う,どちらでもない,やや思う,あまり思わない,どちらでもない,どちらでもない,やや思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,あまり思わない,どちらでもない,あまり思わない,どちらでもない,どちらでもない,地域への経済波及効果,0,0,0,0,0,0,1,0,0,,0,豊かな自然景観,1,0,0,0,0,0,,自然の景観・体験,1,0,0,0,0,0,0,,5,5,どちらでもない,海・山,海・山,,2025-12-16 8:01:50
2837,70,男性,50代,名護市,公務,,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,どちらでもない,どちらでもない,どちらでもない,やや思う,やや思う,やや思う,とても思う,やや思う,どちらでもない,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,来訪者の消費単価,0,1,0,0,0,0,0,0,0,,0,"地元の食文化,のんびりとした時間の流れ",0,1,0,1,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産",1,1,1,0,0,0,0,,7,7,満足,,,,2025-12-16 8:09:22
2838,71,女性,40代,名護市,その他,事務職,あまり思わない,まったく思わない,まったく思わない,やや思う,あまり思わない,まったく思わない,あまり思わない,あまり思わない,まったく思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,あまり思わない,やや思う,まったく思わない,まったく思わない,まったく思わない,どちらでもない,あまり思わない,あまり思わない,まったく思わない,あまり思わない,まったく思わない,"来訪者の消費額,来訪者の消費単価,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果,活動実績",1,1,0,1,1,1,1,1,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,自然の景観・体験,1,0,0,0,0,0,0,,5,5,どちらでもない,海、山、伝統行事,"やんばるの、ゆったりと流れる時間、自然の海や星空が魅力ですが、ホテルができると人工物の明かりが増えて、星が見えにくくなります。
観光客が増えると、地元の癒しの海が荒らされます。そう考えると、魅力は伝えたくないです。",やんばるの自然はいじらずに、それを魅力として、場所を選んで観光誘致をしてほしい。観光発展していくのはいいが、都会と変わらない物をつくってしまったら、どこへ行っても同じだと思う。その土地に必要なインフラ整備、環境つくりをお願いしたいです、観光も大事だけど、地元の人が暮らしやすい名護市をお願いします。,2025-12-16 9:32:26
2883,72,男性,40代,本部町,飲食サービス業,,とても思う,やや思う,やや思う,とても思う,やや思う,まったく思わない,あまり思わない,どちらでもない,やや思う,どちらでもない,まったく思わない,やや思う,とても思う,とても思う,どちらでもない,とても思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,どちらでもない,まったく思わない,とても思う,やや思う,"来訪者の消費単価,リピーター率,地域への経済波及効果",0,1,0,0,1,0,1,0,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ",1,1,0,1,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化,地域住民との交流",1,1,1,1,0,1,0,,10,10,大変満足,私は本部町の町営市場で働いています。市場には地元の人もインバウンドのお客も国内観光客もやって来て自然と交流生まれます。本部町営市場が誇りです。,山原にはまだ『観光地化』され過ぎていない環境がまだ残っています。自然体な沖縄の姿を感じて下さい,本部町営市場が取り壊される計画です。再整備よりも保存活用のほうが価値があると思います。,2025-12-17 8:33:40
2885,73,女性,20代,本部町,公務,,やや思う,やや思う,とても思う,とても思う,やや思う,どちらでもない,やや思う,あまり思わない,やや思う,やや思う,あまり思わない,あまり思わない,やや思う,あまり思わない,とても思う,とても思う,やや思う,どちらでもない,やや思う,とても思う,あまり思わない,やや思う,あまり思わない,とても思う,やや思う,"来訪者の消費単価,リピーター率,地域への経済波及効果",0,1,0,0,1,0,1,0,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ,地域住民の人柄",1,1,0,1,1,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化,お祭り・イベント,地域住民との交流",1,1,1,1,1,1,0,,7,8,満足,"地域の人の温かさ
豊かな自然
ゆっくりと流れる時間
移住者や観光客を受け入れるマインド",”消費する”観光だけではなく、その土地の時間の流れを感じることや、地域のひととのかかわりを持ってみるなど、”交わる”観光をしてみても面白い町だと思います。,"観光客と地域の間に線引きがあるような気がする。
例）観光客の行く店に地元の人はいかない/逆もしかり
生活圏内の心理的安全性は確保しつつ、緩やかに観光客と地域の方々が交わる場所や雰囲気をつくっていければなぁと思います。",2025-12-17 9:19:41
2886,74,女性,40代,名護市,生活関連サービス業,,どちらでもない,やや思う,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,やや思う,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,"地域への経済波及効果,活動実績,その他",0,0,0,0,0,0,1,1,1,プロモーション活動等積極的に行っていると思いますが、その効果が実感としてあまり感じられません。プロモーション活動って「これだけの効果があって、こんな成果につながっているんですね！」プロモーションはやっぱり必要なんだ！と唸らせるような効果の見せ方を期待します。,0,のんびりとした時間の流れ,0,0,0,1,0,0,,自然の景観・体験,1,0,0,0,0,0,0,,7,7,不満,,,日頃の生活の中で、やんばるが「持続可能な観光地」として、どこを目指しているのか、どこに注力したいのか、ほとんど考えることはありませんし、伝わってくることもありません。現時点で「どのような観光地を目指すか」というのが、地元住民に委ねられてわけではなく、「持続可能な観光地」ありきであるのであれば、言葉だけを一人歩きさせるのではなく、そこに暮らす人々やそこを訪れる人々等がここやんばるでは「このような持続可能な観光地が目指されており、そのためにそこにいる人々にはどういうことに意識する必要があり、そこを訪れる人もまた、どのような振る舞いが求められるのか」ということ共通認識が必要だと感じています。観光客を呼びこむだけではなく、観光客を迎える地元側の醸成の高まりについても同時に尽力しないといけないって、とても大変だと思います。どうすれば多くの人たちを巻き込みながら、みんなが「自分ゴト」として観光について考えられるようになるんですかね。そしてひとりひとりの行動につなげていくには、もっともっと大きな覚悟が必要だと思うんですが、どこまで本気で考えられているのでしょうか？今後の観光地域づくりの中でその本気度を見させていただきたいと思います。,2025-12-17 9:45:02
2889,75,男性,60代,本部町,その他,コンサル,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,あまり思わない,どちらでもない,やや思う,やや思う,あまり思わない,あまり思わない,やや思う,あまり思わない,どちらでもない,やや思う,どちらでもない,やや思う,どちらでもない,やや思う,やや思う,どちらでもない,あまり思わない,どちらでもない,やや思う,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果,活動実績",1,1,1,1,1,1,1,1,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ",1,1,0,1,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化",1,1,1,1,0,0,0,,9,9,満足,,,,2025-12-17 10:35:07
2890,76,女性,30代,本部町,公務,,やや思う,どちらでもない,あまり思わない,やや思う,やや思う,どちらでもない,やや思う,やや思う,どちらでもない,やや思う,どちらでもない,あまり思わない,とても思う,まったく思わない,やや思う,とても思う,あまり思わない,やや思う,やや思う,とても思う,あまり思わない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,来訪者満足度,リピーター率,住民満足度,地域への経済波及効果",1,1,1,1,1,1,1,0,0,,0,"豊かな自然景観,のんびりとした時間の流れ",1,0,0,1,0,0,,"自然の景観・体験,地域産品・お土産,伝統・文化",1,0,1,1,0,0,0,,8,5,どちらでもない,自然を大切にすること,キラキラな世界ではなく自然やそのままの暮らしを伝えたい,これ以上の開発は必要ないと感じています。今のままのやんばるをそのままの魅力を伝えていって欲しい,2025-12-17 10:37:06
2891,77,女性,60代,本部町,学術研究、専門、技術サービス業,,やや思う,あまり思わない,まったく思わない,あまり思わない,あまり思わない,あまり思わない,まったく思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,どちらでもない,あまり思わない,やや思う,あまり思わない,まったく思わない,まったく思わない,まったく思わない,あまり思わない,あまり思わない,どちらでもない,まったく思わない,あまり思わない,あまり思わない,"来訪者の消費額,来訪者満足度,リピーター率,地域への経済波及効果",1,0,0,1,1,0,1,0,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ,地域住民の人柄,その他",1,1,0,1,1,1,沖縄固有種の存在,"自然の景観・体験,地元の料理,伝統・文化",1,1,0,1,0,0,0,,7,8,どちらでもない,伝統行事,自然,"交通渋滞、生活している人間には迷惑
道路幅拡幅などして欲しい
商業施設が少なすぎる(外食産業、生活に必要な最低限のものは揃うが、名護までいかなければならないので不便)",2025-12-17 10:39:41
2892,78,男性,30代,本部町,情報通信業,,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,とても思う,やや思う,とても思う,あまり思わない,どちらでもない,とても思う,やや思う,とても思う,やや思う,どちらでもない,どちらでもない,やや思う,やや思う,どちらでもない,やや思う,どちらでもない,とても思う,とても思う,"来訪者の消費額,来訪者の消費単価,延べ宿泊者数,来訪者満足度,地域への経済波及効果",1,1,1,1,0,0,1,0,0,,0,"豊かな自然景観,のんびりとした時間の流れ,地域住民の人柄",1,0,0,1,1,0,,"自然の景観・体験,お祭り・イベント",1,0,0,0,1,0,0,,7,8,満足,,,"住宅地(字山川)で、
土地の継承が行われていなかったり、
高齢化が進み、サトウキビ畑の放置やギンネモの放置などにより、
原野化している土地が至る所にある。
景観が良く無いだけでなく、害虫の大量発生、火事や、見通しの悪さによる交通事故などの懸念があり、土地活用などの対策を講じてほしい。",2025-12-17 10:41:05
2894,79,男性,60代,本部町,お仕事をされていない,,やや思う,やや思う,やや思う,どちらでもない,あまり思わない,まったく思わない,あまり思わない,まったく思わない,やや思う,どちらでもない,どちらでもない,どちらでもない,どちらでもない,まったく思わない,やや思う,とても思う,まったく思わない,まったく思わない,まったく思わない,やや思う,やや思う,やや思う,まったく思わない,あまり思わない,まったく思わない,"住民満足度,地域への経済波及効果,活動実績",0,0,0,0,0,1,1,1,0,,0,"豊かな自然景観,のんびりとした時間の流れ,地域住民の人柄",1,0,0,1,1,0,,"自然の景観・体験,地元の料理,伝統・文化",1,1,0,1,0,0,0,,10,9,どちらでもない,地域住民同士の付き合い,マナーが悪い中国人は来るな！！！,民泊施設を増やさずホテルや民宿を増やして欲しい（民泊が近所にあると迷惑！）,2025-12-17 10:42:45
2895,80,男性,50代,本部町,宿泊業,,とても思う,とても思う,とても思う,とても思う,やや思う,やや思う,やや思う,とても思う,まったく思わない,どちらでもない,どちらでもない,まったく思わない,あまり思わない,まったく思わない,あまり思わない,とても思う,あまり思わない,やや思う,あまり思わない,やや思う,どちらでもない,まったく思わない,まったく思わない,どちらでもない,あまり思わない,"来訪者の消費額,延べ宿泊者数,住民満足度,地域への経済波及効果,活動実績",1,0,1,0,0,1,1,1,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,"自然の景観・体験,地元の料理,地域産品・お土産,伝統・文化,お祭り・イベント,地域住民との交流",1,1,1,1,1,1,0,,9,9,大変不満,,,,2025-12-17 10:43:20
2896,81,男性,50代,本部町,宿泊業,,とても思う,とても思う,とても思う,とても思う,やや思う,まったく思わない,あまり思わない,まったく思わない,あまり思わない,どちらでもない,やや思う,あまり思わない,とても思う,やや思う,とても思う,とても思う,やや思う,とても思う,やや思う,とても思う,とても思う,とても思う,あまり思わない,とても思う,どちらでもない,"来訪者の消費単価,延べ宿泊者数,リピーター率,住民満足度,地域への経済波及効果",0,1,1,0,1,1,1,0,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ",1,1,0,1,0,0,,"自然の景観・体験,地元の料理,地域産品・お土産",1,1,1,0,0,0,0,,8,8,満足,,,"祭りやフリマの継続性が無い。成功して大規模化すると維持できずにやめるか、住民以外を追い出してしまう。持続性を個人の努力に求めるのではなく、役場や観光協会が積極参画してさらなる発展に繋げてほしい。
観光スポットも同様、備瀬ワルミ,フンガー滝,タナガーグムイは、今のター滝を見習ってほしい。",2025-12-17 10:45:01
2897,82,女性,30代,本部町,宿泊業,,やや思う,あまり思わない,あまり思わない,あまり思わない,やや思う,まったく思わない,あまり思わない,まったく思わない,とても思う,あまり思わない,まったく思わない,まったく思わない,あまり思わない,やや思う,とても思う,とても思う,まったく思わない,まったく思わない,あまり思わない,あまり思わない,まったく思わない,あまり思わない,まったく思わない,やや思う,まったく思わない,住民満足度,0,0,0,0,0,1,0,0,0,,0,"豊かな自然景観,地元の食文化,琉球の歴史・文化,のんびりとした時間の流れ,地域住民の人柄",1,1,1,1,1,0,,"自然の景観・体験,地域住民との交流",1,0,0,0,0,1,0,,3,1,大変不満,自然や海への環境維持,"レンタカーの交通ルール、マナーの悪さ
ゴミのマナーの悪さ","大浜エリア、美ら海水族館への道の混雑、事故になりうるレンタカーのマナーの悪さをどうにかしてほしい。
車線が少なすぎるのにレンタカーが多く生活に支障がある。
観光客のせいでスーパーの品薄に懸念。
ゴミが増えて海や自然が無くなるのでやめてほしい。ルールを強化、交通事故になるような運転をやめて欲しい。レンタカーの運転ルールを強化してほしい",2025-12-17 10:45:26
2898,83,女性,60代,本部町,飲食サービス業,,やや思う,やや思う,やや思う,やや思う,まったく思わない,まったく思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,あまり思わない,まったく思わない,やや思う,どちらでもない,やや思う,やや思う,やや思う,やや思う,やや思う,やや思う,どちらでもない,やや思う,まったく思わない,あまり思わない,あまり思わない,"来訪者満足度,リピーター率,地域への経済波及効果,活動実績",0,0,0,1,1,0,1,1,0,,0,"豊かな自然景観,地元の食文化,のんびりとした時間の流れ",1,1,0,1,0,0,,"自然の景観・体験,地元の料理,伝統・文化,お祭り・イベント",1,1,0,1,1,0,0,,8,8,どちらでもない,"やはり城跡、自然な景観
地域の祭りなど",海は元より山、滝、ガジュマルなどを歩くドレッキングは素晴らしい,"歩道の整備
建物、景観の統一(イタリアの様な)
車道路面の整備と車線の明確化
(矢印など消えている)",2025-12-17 10:47:21
